country,happiness_score,region,year,corruption_perceptionP1,freedomP1,gdp_per_capitaP1,generosityP1,happiness_scoreP1,life_expectancyP1,social_supportP1,corruption_perceptionP2,freedomP2,gdp_per_capitaP2,generosityP2,happiness_scoreP2,life_expectancyP2,social_supportP2,corruption_perceptionP3,freedomP3,gdp_per_capitaP3,generosityP3,happiness_scoreP3,life_expectancyP3,social_supportP3,Australia and New Zealand,Central and Eastern Europe,Eastern Asia,Latin America and Caribbean,Middle East and Northern Africa,North America,Southeastern Asia,Southern Asia,Sub-Saharan Africa,Western Europe
Kuwait,65.80121703853953,Middle East and Northern Africa,2018,70.70258166904793,68.55491610521767,77.90803681803102,44.58785115275527,66.24746488992879,55.39927327977677,76.6240114713236,77.77760285889981,59.62154696132597,77.15362595419846,31.181640625,68.96551724137932,55.71340929009641,53.380778588807786,84.15254685933351,76.6560773480663,74.1517175572519,31.6953125,70.10141987829614,63.533742331288344,70.92092457420924,0,0,0,0,1,0,0,0,0,0
El Salvador,67.50507099391483,Latin America and Caribbean,2018,29.568225794768647,59.731012385194475,43.405748846876705,15.284762775991114,64.17849457529938,52.23650769326477,71.905419194205,34.87488694670259,51.476519337016576,41.68416030534351,17.337890625,65.49695740365111,52.23488168273443,49.25486618004866,38.69656729335434,55.73204419889503,36.47614503816794,20.8828125,66.75456389452333,59.36634531113059,62.35218978102191,0,0,0,1,0,0,0,0,0,0
Guatemala,71.86612576064908,Latin America and Caribbean,2018,25.375983324265718,73.38544446460456,41.60314627731121,55.36882672458887,73.3265719307363,47.34793950548097,76.3737952332135,28.591952447306067,69.58425414364639,39.815839694656475,56.265625,70.6896551724138,47.36108676599474,52.992092457420924,31.125499779437188,79.74171270718232,35.56917938931298,53.68945312500001,66.61257606490871,56.463628396143726,63.476885644768856,0,0,0,1,0,0,0,0,0,0
Uzbekistan,66.06490872210954,Central and Eastern Europe,2018,81.01049572947674,90.91832361168615,37.52104426158292,81.24680607579647,63.529415710944406,43.6698183691575,94.21953464656569,93.1037568888085,84.04419889502763,35.11020992366413,67.04296875,63.85395537525356,43.96406660823839,71.05231143552311,100.0,90.91298342541435,30.17366412213741,44.60351562499999,64.1784989858012,52.38562664329535,81.53467153284672,0,1,0,0,0,0,0,0,0,0
Slovakia,67.62677484787018,Central and Eastern Europe,2018,7.9558156394164925,40.85876582735815,63.23442545555916,26.668843929655857,66.10547767933184,62.46563638123786,91.54861570854864,9.683999984163998,32.30801104972375,61.05582061068701,27.025390625,65.69979716024339,61.671340929009645,65.85644768856447,11.274449930663955,43.854972375690615,55.76860687022901,32.994140625,64.01622718052738,69.15162138475021,77.25,0,1,0,0,0,0,0,0,0,0
Japan,62.39350912778905,Eastern Asia,2018,53.81265593798987,69.83778259372183,67.60091499517891,23.549368779640627,62.49493055362981,80.059234976873,87.36848106059428,62.3857277568217,64.58701657458563,65.84303435114505,19.96875,62.515212981744426,80.18492550394392,64.50973236009732,59.346128168986034,68.52900552486186,60.626908396946575,20.908203125,63.85395537525356,86.86327782646799,76.46715328467154,0,0,1,0,0,0,0,0,0,0
South Korea,61.582150101419884,Eastern Asia,2018,20.79502414756363,35.624539489904144,66.87397151502957,40.366087341681045,60.83163936529881,78.89693917985755,68.62983216334426,25.355189642962138,34.76243093922652,64.86068702290076,36.765625,60.77079107505071,77.6906222611744,43.91362530413625,25.81852320175655,45.867403314917134,59.38024809160305,36.24414062500001,63.793103448275865,84.60823838737949,58.25669099756689,0,0,1,0,0,0,0,0,0,0
Ecuador,63.56997971602434,Latin America and Caribbean,2018,46.0489964051704,62.87267935868785,47.74906480585353,29.318840824998837,64.27991677491218,60.09081703440122,78.23411275580536,59.2705489359912,55.62154696132596,46.42461832061068,19.67578125,63.630831643002026,60.13409290096406,52.29562043795619,59.44470977724017,67.09116022099447,41.22232824427481,22.541015625,63.61054766734279,69.30324276950043,60.768248175182464,0,0,0,1,0,0,0,0,0,0
Bahrain,66.24746450304261,Middle East and Northern Africa,2018,84.46543488477431,74.13631480043105,71.0120353534933,33.72431383468202,65.88235077461421,57.24215904523366,80.48117160797142,84.68817359751428,65.43508287292818,68.71374045801527,33.490234375,68.5395537525355,57.577563540753715,57.419099756691,100.0,62.834254143646405,63.156488549618324,33.91015625,63.306288032454354,65.4829097283085,73.98053527980535,0,0,0,0,1,0,0,0,0,0
Italy,64.11764705882354,Western Europe,2018,9.210181093532238,35.42136915480897,66.55852189500811,33.74797815922656,63.387428500347674,74.77163432670412,87.8907105638455,8.399153023251841,26.004143646408835,64.64456106870229,32.5859375,63.65111561866127,74.5854513584575,63.36192214111922,9.532841518174337,36.23756906077347,59.691793893129756,44.576171875,63.0628803245436,83.65118317265558,72.85705596107054,0,0,0,0,0,0,0,0,0,1
