country,corruption_perception,freedom,gdp_per_capita,generosity,happiness_score,life_expectancy,social_support,year,happiness_scoreP1,Australia and New Zealand,Central and Eastern Europe,Eastern Asia,Latin America and Caribbean,Middle East and Northern Africa,North America,Southeastern Asia,Southern Asia,Sub-Saharan Africa,Western Europe
Ivory Coast,33.84635216725117,64.50276243093921,25.811068702290076,28.515625,37.16024340770792,7.011393514460999,53.041362530413615,2018,27.20080787705113,0,0,0,0,0,0,0,0,1,0
Jamaica,10.18676618626006,79.41988950276242,39.074427480916036,18.75,61.886409736308316,60.736196319018404,90.81508515815085,2018,50.14198519878885,0,0,0,1,0,0,0,0,0,0
Japan,49.29080412706481,76.38121546961324,61.736641221374036,15.4296875,62.39350912778905,86.59070990359335,88.92944038929437,2018,62.49493055362981,0,0,1,0,0,0,0,0,0,0
Jordan,44.03311835351123,64.64088397790054,39.217557251908396,25.390625,47.099391480730226,56.529360210341814,76.94647201946471,2018,50.64908652470022,0,0,0,0,1,0,0,0,0,0
Kazakhstan,39.761248662498936,62.70718232044198,54.532442748091604,28.90625000000001,59.8580121703854,55.302366345311135,92.21411192214113,2018,60.44624274449228,0,1,0,0,0,0,0,0,0,0
Kenya,18.073294846590432,69.61325966850828,23.52099236641221,68.75,31.86612576064909,39.78965819456617,63.7469586374696,2018,34.766733738278305,0,0,0,0,0,0,0,0,1,0
Kosovo,7.557923299483272,61.87845303867402,40.79198473282442,53.51562499999999,57.261663286004065,50.65731814198072,74.81751824817519,2018,49.49289666228074,0,1,0,0,0,0,0,0,0,0
Kuwait,34.832168249792474,76.51933701657457,70.32442748091603,32.61718749999999,65.80121703853953,59.15863277826468,79.13625304136251,2018,66.24746488992879,0,0,0,0,1,0,0,0,0,0
Kyrgyzstan,11.501187629648456,74.58563535911603,25.28625954198473,54.8828125,46.49087221095336,52.05959684487291,86.13138686131386,2018,43.91481109371543,0,1,0,0,0,0,0,0,0,0
Latvia,21.687953815908518,50.138121546961315,54.77099236641221,17.96875,62.75862068965517,58.80806310254162,88.4428223844282,2018,61.075048775508535,0,1,0,0,0,0,0,0,0,0
Lebanon,44.69032907520543,69.47513812154696,46.040076335877856,41.796875,51.09533468559837,68.79929886064856,71.71532846715328,2018,48.397563988490276,0,0,0,0,1,0,0,0,0,0
Liberia,9.858160825412963,57.87292817679557,3.6259541984732815,40.234375,13.306288032454365,23.40052585451359,52.189781021897815,2018,14.077078952750703,0,0,0,0,0,0,0,0,1,0
Libya,48.63359340537062,68.50828729281767,46.9942748091603,22.65625,55.314401622718066,48.466257668711656,82.11678832116787,2018,54.48276055512026,0,0,0,0,1,0,0,0,0,0
Lithuania,1.9716321650825923,48.34254143646408,57.1087786259542,5.078125,63.144016227180536,62.751971954425926,92.8832116788321,2018,62.12981643831522,0,1,0,0,0,0,0,0,0,0
Luxembourg,100.0,87.29281767955798,75.19083969465646,38.28125,82.57606490872213,78.52760736196319,92.45742092457421,2018,81.62271635043935,0,0,0,0,0,0,0,0,0,1
Madagascar,16.10166268150784,30.524861878453034,12.5,30.2734375,18.965517241379303,35.232252410166524,55.23114355231142,2018,16.32860148896065,0,0,0,0,0,0,0,0,1,0
Malawi,26.288428867767898,73.34254143646406,8.874045801526718,41.015625,15.172413793103445,26.81858019281332,32.907542579075425,2018,22.94117705091744,0,0,0,0,0,0,0,0,1,0
Malaysia,19.387716289978822,49.17127071823205,55.3912213740458,60.7421875,70.64908722109534,58.6327782646801,76.52068126520679,2018,65.82150325813834,0,0,0,0,0,0,1,0,0,0
Mali,18.401900207437528,50.69060773480663,17.65267175572519,27.1484375,32.61663286004057,13.321647677475898,74.99999999999999,2018,27.40365227627708,0,0,0,0,0,0,0,0,1,0
Malta,46.66196124028802,89.08839779005524,60.591603053435115,73.4375,76.83569979716026,77.47589833479404,92.76155717761557,2018,74.80730122533348,0,0,0,0,0,0,0,0,0,1
Mauritania,30.560298558780183,17.817679558011047,26.574427480916032,26.171875,30.770791075050703,25.591586327782647,75.72992700729927,2018,29.472612918753157,0,0,0,0,0,0,0,0,1,0
Mauritius,16.430268042354935,80.66298342541434,52.00381679389314,47.8515625,61.90669371196756,59.94741454864154,84.36739659367393,2018,56.59229588073367,0,0,0,0,0,0,0,0,1,0
Mexico,31.217509280474378,66.16022099447514,49.522900763358784,13.4765625,74.01622718052737,66.69588080631024,76.15571776155717,2018,75.84178638264808,0,0,0,1,0,0,0,0,0,0
Moldova,0.0,32.04419889502762,31.345419847328248,33.3984375,56.815415821501006,54.338299737072745,79.13625304136251,2018,60.83163936529881,0,1,0,0,0,0,0,0,0,0
Mongolia,10.51537154710716,54.55801104972375,43.60687022900763,49.4140625,46.36916835699797,50.394390885188415,92.27493917274937,2018,42.92089094738439,0,0,1,0,0,0,0,0,0,0
Montenegro,26.617034228614997,35.773480662983424,48.52099236641222,21.6796875,50.872210953346865,63.891323400525856,77.79805352798054,2018,48.640973398700005,0,1,0,0,0,0,0,0,0,0
Morocco,24.31679670268531,63.53591160220994,37.16603053435114,5.078125,48.985801217038535,58.6327782646801,48.47931873479319,2018,48.60040838771604,0,0,0,0,1,0,0,0,0,0
Myanmar,58.49175423078358,80.11049723756905,32.5381679389313,100.0,29.797160243407703,37.598597721297104,71.41119221411194,2018,34.60446402218965,0,0,0,0,0,0,1,0,0,0
Nepal,25.631218146073703,72.65193370165746,20.276717557251906,58.984375,41.39959432048681,47.23926380368097,74.69586374695864,2018,43.06287815798136,0,0,0,0,0,0,0,1,0,0
Netherlands,96.93858144989413,88.12154696132595,64.93320610687022,65.03906249999999,93.34685598377285,76.95004382120945,90.51094890510949,2018,92.04867860124749,0,0,0,0,0,0,0,0,0,1
New Zealand,100.0,92.40331491712706,60.49618320610686,71.2890625,90.973630831643,76.77475898334794,97.38442822384428,2018,90.77079370587649,1,0,0,0,0,0,0,0,0,0
